adjustment_id,review_decision,reviewer,reviewed_at,evidence_source,endpoint_group,target_family,recommended_weight_action,suggested_score_shift,adjustment_confidence,holdout_check_status,observed_count,max_abs_residual,review_note
RPA-F4A2E0518B,,,,scaffold_local,permeability,kinase,downweight_source_for_endpoint_family,-9.8,medium,limited_holdout_ready,12,0.49,
RPA-5D2246CA6B,,,,public_mmp,antibacterial_potency,kinase,monitor_endpoint_family_residual,1.8,medium,limited_holdout_ready,48,0.09,
